review_description,bug_category,review_date,appVersion
crashing during the login,Login Error,2021-05-01 13:36:04,1.0.4
after update it can t open,Update Issue,2021-04-10 16:10:11,1.2.2
after the last update i m unable to login,Login Error,2021-04-15 09:16:32,1.2.2
app crashed just after login can t do anything,Login Error,2021-04-24 18:29:15,1.2.2
keeps on crashing,Crash/Freeze,2021-04-24 20:24:22,1.2.2
cannot update,Update Issue,2023-08-21 15:32:20,1.7.0
can t log in to the app every time error messages coming,Login Error,2020-05-31 19:02:45,1.0.0
can t even log in properly,Login Error,2025-03-14 11:56:38,2.0.8
after update app suddenly closed tried to completely uninstalled and reinstalled but problem still persit,Update Issue,2021-04-12 18:22:28,1.2.2
doesn t work after update,Update Issue,2021-04-11 18:06:53,1.2.2
cant login,Login Error,2020-05-28 19:40:27,
not working properly when ever i log in and it s says broken connection,Login Error,2021-10-04 21:54:14,1.3.2
not loading the data usage giving me a error tried log out and log in also tried clearing data and cache and log in but still have the error,Login Error,2023-05-31 10:52:57,1.6.1
app keep crashing,Crash/Freeze,2022-12-23 10:15:41,1.5.4
app crashed as soon as i installed and opened it,Crash/Freeze,2021-05-31 14:43:51,1.3.2
after the update app automatically log off my account now i cannot log in again,Login Error,2021-04-27 07:21:54,1.2.2
app gets forced closed when loading dash board after login before the update it was working fine,Login Error,2021-04-16 07:11:17,1.2.2
very bad cannot log in,Login Error,2020-11-05 22:34:28,
keep crashing i need some solution please,Crash/Freeze,2021-04-25 21:01:22,1.2.2
app not working after updated its stucks,Crash/Freeze,2021-04-07 05:28:47,1.0.9
cannot even log in to the app shows as invalid password but even if i reset it still doesn t work,Login Error,2021-09-19 23:49:10,1.3.2
the app is crashing at the start,Crash/Freeze,2021-04-14 06:58:04,1.2.2
data not loading after login,Login Error,2021-10-12 12:58:01,1.3.2
internal server error,Server Error,2024-05-29 08:04:35,1.8.0
i am unable to login even after entering all required credential not the best of experiences,Login Error,2021-08-21 17:18:14,1.3.2
can t login it says no internet connection,Login Error,2020-05-27 09:45:10,1.0.0
cant even login,Login Error,2021-10-15 14:27:09,1.4.1
cant even login,Login Error,2021-03-15 13:17:04,1.0.6
app is not stable sometimes app does not loading,Slow Performance,2024-03-31 20:21:46,1.7.0
it cannot update and even open the previous app give me a solution plz,Update Issue,2021-10-13 10:52:52,1.4.1
unable to login it says incorrect user name password even though i entered the right one unable to reset the password,Login Error,2022-07-06 13:23:10,1.4.2
app is not working after the latest update,Update Issue,2021-04-12 11:52:28,1.2.2
very difficult to log in,Login Error,2024-11-23 09:50:50,2.0.2
after latest update we can t login no use of using this,Login Error,2021-04-10 12:53:42,1.0.9
app is not working after the update,Update Issue,2021-04-06 19:57:59,1.0.9
can t login to this app,Login Error,2021-09-29 09:56:07,1.3.2
can t login to this,Login Error,2021-05-31 14:11:18,1.3.2
i created an account but can t log in it said invalid username or password after create the account,Login Error,2021-09-06 15:58:08,1.3.2
what in the world is wrong with this app always crashing always showing an error message,Crash/Freeze,2024-02-14 12:58:01,1.7.0
can t pay my bill session timeout error appear every time at the end,Payment Issue,2021-07-05 13:18:54,1.3.2
i can t log into the app at the moment keep coming error message which is i m not connected to the internet but i m already connected to the internet and i can do other stuff eg youtube surf,Login Error,2020-05-25 06:12:51,1.0.0
system error is displayed every time when i want to subscribe or unsubscribe a package can t do anything through the app,UI Issue,2025-04-22 20:22:39,2.1.0
i cannot log in to app changed the password but still it says log in info wrong,Login Error,2021-08-06 05:30:15,1.3.2
app is crashing every single time i try to log in through facebook and showing a alert by my phone it has a bug,Login Error,2022-12-10 20:38:03,1.5.4
it says to update but not updating,Update Issue,2023-08-26 10:01:51,1.7.0
can t log in to the app error says there must be only 10 digits to a user name,Login Error,2021-05-10 14:45:39,1.2.8
something is wrong with the app every time i tried to login for the past two days an error msg pops up saying the service is temporarily unavailable,Login Error,2021-08-25 19:35:59,1.3.2
can t login or create new account no network error appears though connected through the fibre frustrating worst app,Login Error,2023-02-03 14:50:23,1.6.0
failing app,Payment Issue,2021-04-22 20:16:04,1.2.2
app crashes on start worst app so far,Crash/Freeze,2021-04-18 13:15:08,
app gets stuck frequently,Crash/Freeze,2024-05-24 16:06:10,1.8.0
couldn t sign in it says to type 10 digit password even after i type my 10 digit password,Login Error,2023-08-19 10:47:11,1.7.0
app keeps crashing i could never use the app i am using a samsung galaxy note 9 android version 8 1 0,Crash/Freeze,2021-04-17 18:00:50,1.2.2
why i can t open some apps through this connection,Other,2023-04-30 00:00:51,1.6.1
update issue please fix it,Update Issue,2023-08-18 10:38:05,1.7.0
app crashed everytime when i try to start up redmi note 7,Crash/Freeze,2021-05-01 11:24:31,1.2.8
it worked alright for like two weeks and now suddenly the app started to crash with a message account details not available please watch out this issue,Crash/Freeze,2020-06-18 10:53:25,1.0.0
cannot sign up using google or credentials,Login Error,2021-05-31 11:31:28,1.3.2
can t login to the account it says my number is wrong,Login Error,2020-05-18 10:13:52,1.0.0
cannot activate packages throws internal server error,Server Error,2024-05-27 18:02:20,1.8.0
garbage even cannot log into the account and see the details,Login Error,2025-04-28 19:25:33,2.1.0
says internal error all the time when i go to check daily usage no update available have cleared cache even tried reinstalling,Update Issue,2024-02-11 12:21:50,1.7.0
when i try to login i m getting sorry for the inconvenience caused service will be available soon message when will be the service available again when will be this issue resolve,Login Error,2023-12-05 22:16:11,1.7.0
one of the wrost app can t login fix all these isssue no star should be given,Login Error,2021-06-15 12:57:15,1.3.2
upgrades are not handled well had two connections configured but now can t select,Other,2022-10-06 20:57:25,1.0.6
cannot sign in with fb,Login Error,2023-11-22 21:44:30,1.7.0
cannot log in to the app typical government service,Login Error,2020-05-14 17:28:17,1.0.0
this app always shows me 2 messages 1 internal server error 2 system error idk how to deal with these intrusive errors,Server Error,2025-01-16 21:16:06,2.0.8
app is fully failure,Payment Issue,2021-05-01 07:59:49,
cant register new connection,Other,2021-09-03 14:38:35,1.3.2
app randomly gives errors like oops something went wrong and service unavailable and it disappear after reloading the app fix that issue also improve the app loading time,Slow Performance,2024-01-03 21:42:44,1.7.0
updated features app crash,Crash/Freeze,2021-04-09 07:41:50,1.2.2
always not responding,Crash/Freeze,2024-05-21 21:40:26,1.8.0
can t pay money with new update fix it,Update Issue,2021-04-18 13:38:49,1.2.2
all of a sudden i can t login into the app you though my internet connection is available app is issuing error messages saying no internet,Login Error,2020-05-27 09:14:17,1.0.0
i can not download bill please fix this issue,Payment Issue,2025-02-24 18:23:39,2.0.8
cannot login with the same credentials i use to login to the web portal useless,Login Error,2022-05-11 16:07:48,1.4.2
useless unable to update,Update Issue,2023-08-25 16:11:20,
when logging to the app probably we are indicated error notification,Notification Problem,2023-08-26 05:13:47,1.7.0
i can t even change data add on package when i try to change it the app show system error notification,Crash/Freeze,2023-04-12 20:27:48,1.6.1
i can t even add on data and change the package either,Crash/Freeze,2021-09-18 12:55:49,1.3.2
fix the logging system was interrupted icant log in my user id,Login Error,2020-05-06 23:39:58,1.0.0
when opened requests a update but playstore has no updates,Update Issue,2023-08-24 16:56:06,1.7.0
can t make a payment,Payment Issue,2021-04-16 08:16:27,1.2.2
can t login with old credentials can t create new a new account cab t reset password allways says service will be available soon,Login Error,2021-05-31 13:37:36,1.3.2
protocol report doesn t display it tries to load up the contents but fails and end up with a blank screen,UI Issue,2023-07-12 06:10:20,
this is not working screen says the service temporary unavailable,UI Issue,2020-06-16 10:16:01,1.0.0
can t do payments,Payment Issue,2021-09-03 13:15:17,
cant add on data on app its not showing the adding data volume and its freeze please fix the bug,Crash/Freeze,2024-04-30 10:42:27,1.8.0
good app after the new update but sevice unavailable error is showing always,Update Issue,2021-06-01 08:56:22,1.3.2
says no internet and doesn t connect,Other,2023-04-26 06:24:29,1.6.1
it doest sign in i repeatedlt checked my user id and pw entered 100 correct but keep on rejecting error says need 10 diguts,Login Error,2021-08-02 23:49:15,1.3.2
app doesn t work properly sometimes it lags and says services temporarily unavailable,Slow Performance,2024-05-22 11:38:04,1.8.0
there are so many errors display when loging very very disappointed,Login Error,2023-12-26 10:57:30,1.7.0
bad signal poor connection,Other,2024-05-12 17:26:20,1.7.0
keep asking to update even after i updated to the latest version,Update Issue,2023-08-18 22:41:24,1.7.0
the current update is so buggy and unresponsive half the time it says service temporarily unavailable,UI Issue,2023-05-31 20:53:34,1.6.1
do not do force update it always blocks user action when there is a connectivity issues and there s no data to update very inconvenient,Update Issue,2024-12-02 12:26:59,2.0.2
slow and asks me to update even though i am upgraded to the latest,Slow Performance,2023-08-25 11:11:14,1.7.0
samsung j7 prime app crash automatically wrost app,Crash/Freeze,2021-05-01 10:46:52,1.0.6
too many bugs and the app crashes way too often,Crash/Freeze,2025-04-28 20:25:06,2.0.8
cannot log in to my account says the number needs to be in 10 digits when typed with 94 but when i try with 0 it says invalid mobile no format i need to know how much data i ve left what should i do is something wrong with the app or,Login Error,2022-07-23 10:13:32,1.4.2
every time i open the app it s either very slow or unresponsive,UI Issue,2024-02-14 13:59:31,1.7.0
cannot use it says no service available,Other,2023-11-21 06:34:53,1.7.0
whenever i open the app it says update available when i click update it redirects to play store but does not update at all instead shows uninstall open can the develper s please explain how to update,Update Issue,2023-08-19 09:38:15,
now always saying your transaction was unsuccessfully please try again,Payment Issue,2023-04-10 12:41:34,1.6.1
cannot even add my connection it says service temporary unavailable,Other,2024-05-08 15:39:41,1.8.0
i cant update my contact information popup says sorry the service temporary unavailable since 3 days i cant change my mail,Crash/Freeze,2025-04-08 12:45:33,2.0.8
after latest update app is hell lot of slow and taking forever to load and doesnt load anything at the end too the app is broken,Slow Performance,2021-04-07 08:15:17,1.0.9
after bill payment no receipt lot of bugs very bad,Payment Issue,2023-12-28 21:38:40,1.7.0
i can t type one time password when i trying to pay the bill,Payment Issue,2021-04-22 20:39:44,1.2.2
can t change wifi password,Crash/Freeze,2022-10-09 21:35:20,1.5.2
can t login it says no internet while i m connected to slt fiber connection test the app before release,Login Error,2020-06-07 21:48:09,1.0.0
worst app ever seen every time i go to pay the bill an error message appears,Payment Issue,2022-09-22 21:28:06,1.4.2
its really bad it s not working i can t log into it it s says oops something went wrong check you data i m so mad even i have data it s say this again but again you have to fix it before i uninstall it,Login Error,2021-07-09 09:28:39,1.3.2
application isn t working correctly and when i was trying to log in to the app and i entered username and password correctly application responded me need 10 digits please fix this issue your customer service so disappointed,Login Error,2021-07-16 00:47:29,1.3.2
5 5 i m trying to get the new update but it only shows update but not updating,Update Issue,2023-08-19 21:33:21,1.4.2
upgraded to new version now the app is giving many errors unable to see at least data usage old version worked untill it was upgraded please lookin to thus matter as sooner due to this i am botable ro activate youtube free offer also,Update Issue,2023-02-02 20:09:27,1.6.0
visa card payments not working,Payment Issue,2022-06-24 15:42:31,1.4.2
not loading on mobile data,Slow Performance,2024-05-25 23:19:03,1.8.0
worst app ever i cannot even log into my account,Login Error,2022-07-25 13:35:18,1.4.2
slt kaspersky page is not working at least can t login to my account to verify with slt kaspersky please fix this,Login Error,2023-11-05 03:01:34,1.7.0
account user name invalid error not working this app properly for last update i have a log time account bad online service bad service not working authorities username and password not capture lol plz give this app develope for professional developeer,Update Issue,2023-03-03 00:12:36,1.6.1
after getting the latest update of the app app does not work properly data usage details and other features are not shown and always pop up error message something when to wrong,Update Issue,2023-05-30 10:46:50,1.6.1
some times comming server error problem this app also like our government,Server Error,2024-04-23 22:24:58,
always service temporarily unavailable app is not working after the update does anyone know the email id to raise complaint,Update Issue,2021-04-26 08:27:29,1.2.2
poor connection don t activite any data plans,Other,2024-04-13 22:08:24,1.5.2
worst app always crashes,Crash/Freeze,2021-04-06 23:43:29,1.0.9
one of the worst application cannot resend the bill request and cannot lodge a complaint the location cannot be added,Payment Issue,2022-11-05 14:02:52,1.5.2
bad services unable to pay even bill also,Payment Issue,2022-05-27 16:17:49,
sri lanka has the worst ever internet connection apps it wont let me login saying wrong password it took me 1 hour and 30 min to log in then it worked fine for a week and it didnt open and its stuck in a white loading screen,Login Error,2022-08-06 13:02:08,1.4.2
payment method does not work,Payment Issue,2021-04-17 13:30:49,1.2.2
myslt app is not working properly needs an urgent update to fix these issues,Update Issue,2024-08-21 10:13:34,1.8.0
nothing can be done other than paying bills and even it doesn t show the activated services every time error message is indicating in complains,Payment Issue,2021-12-15 20:30:39,1.4.2
it crash always,Crash/Freeze,2021-06-01 00:38:15,1.3.2
online payment not working,Payment Issue,2022-05-30 19:41:30,1.4.2
it doesnt show other connections after update i usually use 3 connections,Update Issue,2022-10-10 10:10:26,1.5.2
how do i log into my account try sevaral times called your hotline the way they are saying not working i cannot pay bills due to the covid very poor service,Login Error,2021-08-23 03:42:13,1.3.2
just awful always says connection error and only shows me the current usage can t do anything other than that this happened to me on multiple devices and my connection is perfectly fine the app is just awful,Server Error,2023-02-19 03:12:00,1.4.2
i ve been trying to log into my account but it showed sorry for the inconvenience caused service will be available soon i contacted the slt hotline after waiting for almost 16 minutes but they couldn t fix that problem either disappointed please give the old app back,Login Error,2022-07-07 20:05:25,
